reviewId,employeeId,reviewDate,reviewerEmployeeId,reviewScore,reasonType
A501,55000,3/9/2009,77000,Tier 1,Annual
A502,55001,7/15/2009,77001,Tier 2,Annual
A503,55002,10/25/2015,77002,Tier 2,Annual
A504,55003,1/1/2002,77003,Probation,Annual
A505,55004,4/18/2011,77004,Tier 3,Annual
A506,55005,10/22/2010,77005,Warning,Annual
A507,55006,8/21/2003,77006,Tier 3,Annual
A508,55007,10/10/2015,77007,Tier 1,Annual
A509,55008,2/16/2019,77008,Warning,Annual
A510,55009,2/22/2011,77009,Tier 1,Annual
A511,55010,8/12/2014,77000,Tier 1,Annual
A512,55011,10/10/2011,77001,Probation,Annual
A513,55012,8/27/2007,77002,Probation,Annual
A514,55013,8/12/2003,77003,Tier 2,Annual
A515,55014,5/16/2013,77004,Tier 1,Annual
A516,55015,2/5/2002,77005,Tier 2,Annual
A517,55016,7/16/2012,77006,Tier 2,Annual
A518,55017,2/22/2011,77007,Tier 2,Annual
A519,55018,3/17/2002,77008,Warning,Annual
A520,55019,3/3/2006,77009,Tier 2,Annual
